Size,Function,Time (ms)
128,Dot,0.00014585
128,Mean,1.665e-05
128,Sum,1.875e-05
128,Max,2.295e-05
128,Min,1.25e-05
128,ReLU,2.085e-05
128,Exp,1.25e-05
128,Softmax,0.00021705
128,Add,9.37e-05
128,Sub,9.17e-05
128,Mul,9.165e-05
128,Div,0.0001042
1000,Dot,0.0002083
1000,Mean,1.875e-05
1000,Sum,1.455e-05
1000,Max,1.045e-05
1000,Min,2.29e-05
1000,ReLU,1.665e-05
1000,Exp,1.04e-05
1000,Softmax,0.00102705
1000,Add,0.00012915
1000,Sub,0.00013125
1000,Mul,0.0001271
1000,Div,0.00013125
20000,Dot,0.0034895
20000,Mean,1.455e-05
20000,Sum,1.665e-05
20000,Max,2.29e-05
20000,Min,2.085e-05
20000,ReLU,2.085e-05
20000,Exp,2.29e-05
20000,Softmax,0.0207042
20000,Add,0.002577
20000,Sub,0.00260425
20000,Mul,0.0026105
20000,Div,0.00261055
