Size,Function,Time (ms)
128,Dot,6.433e-04
128,Mean,5.033e-04
128,Sum,4.642e-04
128,Max,2.608e-04
128,Min,2.567e-04
128,ReLU,6.258e-04
128,Exp,9.883e-04
128,Softmax,1.193e-03
128,Add,6.900e-04
128,Sub,6.767e-04
128,Mul,6.725e-04
128,Div,6.667e-04
1000,Dot,6.833e-04
1000,Mean,2.524e-03
1000,Sum,2.507e-03
1000,Max,7.683e-04
1000,Min,7.642e-04
1000,ReLU,6.667e-04
1000,Exp,3.402e-03
1000,Softmax,4.968e-03
1000,Add,7.792e-04
1000,Sub,7.742e-04
1000,Mul,7.775e-04
1000,Div,8.183e-04
20000,Dot,2.567e-03
20000,Mean,2.984e-02
20000,Sum,8.297e-02
20000,Max,1.915e-02
20000,Min,2.019e-02
20000,ReLU,5.242e-03
20000,Exp,3.583e-02
20000,Softmax,6.647e-02
20000,Add,1.034e-02
20000,Sub,6.647e-03
20000,Mul,8.287e-03
20000,Div,9.008e-03
