Size,Function,Time (ms)
128,Dot,8.390e-02
128,Mean,6.013e-02
128,Sum,6.399e-02
128,Max,6.110e-02
128,Min,6.065e-02
128,ReLU,5.676e-02
128,Exp,6.599e-02
128,Softmax,1.838e-01
128,Add,5.864e-02
128,Sub,4.050e-02
128,Mul,3.699e-02
128,Div,3.592e-02
1000,Dot,3.662e-02
1000,Mean,3.750e-02
1000,Sum,3.714e-02
1000,Max,3.692e-02
1000,Min,3.960e-02
1000,ReLU,3.575e-02
1000,Exp,4.606e-02
1000,Softmax,1.166e-01
1000,Add,3.683e-02
1000,Sub,3.602e-02
1000,Mul,3.745e-02
1000,Div,3.753e-02
20000,Dot,4.386e-02
20000,Mean,3.702e-02
20000,Sum,3.756e-02
20000,Max,3.733e-02
20000,Min,3.829e-02
20000,ReLU,3.644e-02
20000,Exp,4.818e-02
20000,Softmax,1.303e-01
20000,Add,3.814e-02
20000,Sub,3.823e-02
20000,Mul,3.952e-02
20000,Div,3.706e-02
